id,AirportId,Measure,Value,date
10,NTE,temp,7.872865,2022-01-16
10,NTE,temp,7.683752,2022-01-16
10,NTE,temp,7.416608,2022-01-16
10,NTE,temp,7.136633,2022-01-16
10,NTE,temp,6.897618,2022-01-16
10,NTE,temp,6.604896,2022-01-16
10,NTE,temp,6.325850,2022-01-16
10,NTE,temp,6.114570,2022-01-16
10,NTE,temp,5.875003,2022-01-16
10,NTE,temp,5.671494,2022-01-16
10,NTE,temp,5.553533,2022-01-16
10,NTE,temp,5.419339,2022-01-16
10,NTE,temp,5.326820,2022-01-16
10,NTE,temp,5.318594,2022-01-16
10,NTE,temp,5.286208,2022-01-16
10,NTE,temp,5.281502,2022-01-16
10,NTE,temp,5.341945,2022-01-16
10,NTE,temp,5.355326,2022-01-16
10,NTE,temp,5.371371,2022-01-16
10,NTE,temp,5.427091,2022-01-16
10,NTE,temp,5.411649,2022-01-16
10,NTE,temp,5.377831,2022-01-16
10,NTE,temp,5.367120,2022-01-16
10,NTE,temp,5.274336,2022-01-16
10,NTE,temp,5.158759,2022-01-16
10,NTE,temp,5.068585,2022-01-16
10,NTE,temp,4.905263,2022-01-16
10,NTE,temp,4.734166,2022-01-16
10,NTE,temp,4.608471,2022-01-16
10,NTE,temp,4.433345,2022-01-16
10,NTE,temp,4.276281,2022-01-16
10,NTE,temp,4.190762,2022-01-16
10,NTE,temp,4.080529,2022-01-16
10,NTE,temp,4.009996,2022-01-16
10,NTE,temp,4.028052,2022-01-16
10,NTE,temp,4.032687,2022-01-16
10,NTE,temp,4.081865,2022-01-16
10,NTE,temp,4.217573,2022-01-16
10,NTE,temp,4.331103,2022-01-16
10,NTE,temp,4.474351,2022-01-16
10,NTE,temp,4.684125,2022-01-16
10,NTE,temp,4.847991,2022-01-16
