id,AirportId,Measure,Value,date
10,nte,temp,10.702359,2022-01-13
10,nte,temp,10.895558,2022-01-13
10,nte,temp,11.110204,2022-01-13
10,nte,temp,11.325437,2022-01-13
10,nte,temp,11.451029,2022-01-13
10,nte,temp,11.577162,2022-01-13
10,nte,temp,11.687829,2022-01-13
10,nte,temp,11.698826,2022-01-13
10,nte,temp,11.706989,2022-01-13
10,nte,temp,11.703105,2022-01-13
10,nte,temp,11.609591,2022-01-13
10,nte,temp,11.529168,2022-01-13
10,nte,temp,11.457362,2022-01-13
10,nte,temp,11.319962,2022-01-13
10,nte,temp,11.221426,2022-01-13
10,nte,temp,11.157149,2022-01-13
10,nte,temp,11.051110,2022-01-13
10,nte,temp,11.004373,2022-01-13
10,nte,temp,11.007394,2022-01-13
10,nte,temp,10.978305,2022-01-13
10,nte,temp,11.011573,2022-01-13
10,nte,temp,11.090868,2022-01-13
10,nte,temp,11.127833,2022-01-13
10,nte,temp,11.211148,2022-01-13
10,nte,temp,11.319731,2022-01-13
10,nte,temp,11.361979,2022-01-13
10,nte,temp,11.424960,2022-01-13
10,nte,temp,11.487698,2022-01-13
10,nte,temp,11.460510,2022-01-13
10,nte,temp,11.434017,2022-01-13
10,nte,temp,11.392117,2022-01-13
10,nte,temp,11.251144,2022-01-13
10,nte,temp,11.108374,2022-01-13
10,nte,temp,10.954489,2022-01-13
10,nte,temp,10.712447,2022-01-13
10,nte,temp,10.485393,2022-01-13
10,nte,temp,10.268742,2022-01-13
10,nte,temp,9.988808,2022-01-13
10,nte,temp,9.750482,2022-01-13
10,nte,temp,9.549009,2022-01-13
10,nte,temp,9.308906,2022-01-13
10,nte,temp,9.131561,2022-01-13
10,nte,temp,9.007360,2022-01-13
10,nte,temp,8.854866,2022-01-13
10,nte,temp,8.768943,2022-01-13
10,nte,temp,8.733121,2022-01-13
10,nte,temp,8.659470,2022-01-13
10,nte,temp,8.637024,2022-01-13
10,nte,temp,8.644543,2022-01-13
10,nte,temp,8.590830,2022-01-13
10,nte,temp,8.563276,2022-01-13
10,nte,temp,8.540726,2022-01-13
10,nte,temp,8.433871,2022-01-13
10,nte,temp,8.333635,2022-01-13
10,nte,temp,8.223694,2022-01-13
10,nte,temp,8.020730,2022-01-13
10,nte,temp,7.822315,2022-01-13
10,nte,temp,7.618840,2022-01-13
10,nte,temp,7.333585,2022-01-13
10,nte,temp,7.069941,2022-01-13
10,nte,temp,6.823033,2022-01-13
10,nte,temp,6.519434,2022-01-13
10,nte,temp,6.264236,2022-01-13
10,nte,temp,6.052333,2022-01-13
10,nte,temp,5.808491,2022-01-13
10,nte,temp,5.634278,2022-01-13
10,nte,temp,5.519658,2022-01-13
10,nte,temp,5.383418,2022-01-13
10,nte,temp,5.320524,2022-01-13
10,nte,temp,5.314081,2022-01-13
10,nte,temp,5.276339,2022-01-13
10,nte,temp,5.296409,2022-01-13
10,nte,temp,5.352576,2022-01-13
10,nte,temp,5.353788,2022-01-13
10,nte,temp,5.387499,2022-01-13
10,nte,temp,5.432025,2022-01-13
10,nte,temp,5.398192,2022-01-13
10,nte,temp,5.376928,2022-01-13
10,nte,temp,5.351385,2022-01-13
10,nte,temp,5.238315,2022-01-13
10,nte,temp,5.135247,2022-01-13
10,nte,temp,5.032050,2022-01-13
10,nte,temp,4.852040,2022-01-13
10,nte,temp,4.698577,2022-01-13
10,nte,temp,4.566164,2022-01-13
10,nte,temp,4.381395,2022-01-13
10,nte,temp,4.249268,2022-01-13
10,nte,temp,4.164103,2022-01-13
10,nte,temp,4.050633,2022-01-13
10,nte,temp,4.010308,2022-01-13
10,nte,temp,4.032469,2022-01-13
10,nte,temp,4.035881,2022-01-13
10,nte,temp,4.115369,2022-01-13
10,nte,temp,4.253399,2022-01-13
10,nte,temp,4.362160,2022-01-13
10,nte,temp,4.530638,2022-01-13
10,nte,temp,4.736448,2022-01-13
